amazon-service,7
amazon-trump,19
brown-deportation,102
brown-immigrant,23
brown-trump,2
census-immigrant,6
deportation-immigrant,17
donald-deportation,1
donald-service,3
donald-trump,50
donald-white,65
immigrant-brown,1
immigrant-census,6
immigrant-deportation,17
immigrant-trump,1
service-amazon,1
service-trump,2
syria-trump,3
trump-amazon,4
trump-brown,4
trump-census,29
trump-deportation,225
trump-donald,30
trump-immigrant,77
trump-service,17
trump-white,105
white-trump,9
